Latitude, Logitude ,code,name,address,mobile,email,,
30.7944,76.0354,109062,DORAHA CO-OP MARKETING SOCIETY,INDIAN  OIL  PETROL  PUMPNH-1  DORAHALUDHIANA,9478655055,jsmall1074gmailcom,,
22.9195,88.4536,191110,UMA SERVICE STATION,CHENDUA  P  S    BIJPUR  CHENDUA  NORTH  24  PARGANAS  WESTB,8334901011,rkchoubey01gmailcom,,
24.776307,93.928843,217744,HEIRANGOITHONG SERVICE STATION,HEIRANGOITHONG,9402881964,heirangoithongsgmailcom,,
12.379581,79.698212,206309,G K AGENCIES,PERAMBERU  ORATHI  ROAD  LK  NO    1172VILL  84  ORATHI  VIL,9444006603,geekayioclgmailcom,,
30.30213268,74.9592,108900,BHOGAR SERVICE STATION,VILL-DHADE,9356901023,jassmann39yahoocom,,
29.807,75.8266,102280,KAHAN CHAND NAGINA RAM,INDIAN  OIL  DEALERJHAKHAL  MANDI,9317975000,kcnriocpetrolpumpgmail,,
21.944503,86.800175,267431,RAJSHREE KSK,RAMDAYAL  NAGARBAURA,9438049009,saharanveergmailcom,,
26.1156,79.2977,269664,KISAN SEWA KENDRA UDHOTPURA,VILLAGE  UDHOTPURATEHSIL  -  KONCHdist    -  Jalaun,9984223922,samarsourabhsengargmailco,,
19.225083,84.815806,275973,BALUNKESWAR KSK,KELUAPALI  TULU  ROAD,9437142623,kxxxxxxxxxxxxxxxxxxxxxxco,,
23.72461,87.27386,279322,COCO-PANDAVESWAR(ADHOC-MT AUTO,RANIGANJ-SURI  ROAD  NH60PANDAVESWARDist  Burdwan,9434014279,mtautomobilesgmailcom,,
26.69426,82.875114,281396,BALAJI KSK,PANKHOBARI,9918386917,NA,,
11.61301051,77.93308361,274646,SHRI VALLAPA GANAPATHY AGENCY,INDIAN  OIL  DEALERSF  NO  416  5KORANAMPATTY  VILLAGE,429025737,sasikalaprakasamgmailcom,,
26.854219,83.71106,279148,CHEDA DEVI KISAN SEWA KENDRA,BAHUAAS  SIKTA  ROAD,9956827101,NA,,
28.450628,79.123662,287212,SHIV BALAJI KISSAN SEVA KENDRA,TEHSIL  AONLASHIVPURIDistrict  Bareilly,9997015591,shivbalajikskgmailcom,,
18.4178,84.0434,142099,KAMESWARI ENTERPISES,NARASANNAPETA,9966626624,abhitangudugmailcom,,
27.1542,82.6053,172959,KISAN AUTOMOBILES,BIYARA,9415171216,NA,,
16.55925,74.316172,306732,Shaheed Jotiram Chougule Petro,Kagal,9923467979,jotiram17gmailcom,,
18.873454,78.655476,308579,SRI SAI KRUPA KSK,IOCL  DEALERSY  NO  320VEMPET  VILLAGEMetpally  Mandal,9866668207,srisaikrupakskgmailcom,,
26.758168,82.121323,304741,SWASTIK KISAN SEWA KENDRA,VILL-GADDOPUR  TEHSIL-SADAR,9918299999,vipinkrishnayahoocom,,
31.3999,75.609,212502,BAL INDIAN OIL,Raipur  Rasulpur,9814369999,singhbalwanbalgmailcom,,
23.977236,72.523998,284906,EKTA PETROLEUM,C  O    BIHARI  FARMAT      POST      PILUCHATAL    VADGAM,9909291430,habihari17171gmailcom,,
25.9761,80.0016,156230,RAM KRISHAN FILLING STATION,KALPI  RD  KURARALK  NO  12036  12004DIST  HAMIRPUR  UP,9415170283,rkfskuraragmailcom,,
13.7194,79.6548,153641,SRI LAKSHMI SRINIVASA AGENCIES,INDIAN  OIL  DEALERS  LockNo    5195KAPUGUNNERI    -  RTD  1,9494781999,dmadhulatha999gmailcom,,
12.772428,79.41666,187742,ANU AGENCIES,LK  NO  1144      29  2  ARCOT  ROADKALAVAI  33586271162,9994105456,uparasuramgmailcom,,
27.8173,80.1702,189098,SHREE RAM KSK (KSK),PASGAWAN  MOHAMMADI  L    KHERIPASGAWAN  MOHAMMADI  L  KHERI,9935338786,dharmeshharshsharmarediff,,
19.4673,84.7467,124025,RADHAKRISHNA FILLING STATION,HINJLIKATUDIST  -GANJAMORISSA,9861132070,radhakrushnafshinjilicutg,,
29.7032,73.6324,123506,NATIONAL OIL CO,PADAMPUR,9414432183,pbnoc1gmailcom,,
31.588652,76.130777,255648,MATE SHRI KISSAN SEWA KENDRA,LOHARLI  -  NICHALIBLOCK      GAGRETTEHSIL      AMB,9816104804,thakurjasbir300gmailcom,,
23.3887,82.849,256485,NASEEB PETROL PUMP,INDIAN  OIL  DEALERVILLAGE  BHAIYATHANTAHSIL  BHAIYATHAN,9926919786,mrafi038mrgmailcom,,
22.6868,73.863,265534,SHREE PAVAN PUTRA PETROLEUM,BHADBHA,9737895345,abcgmailcom,,
